Event,Event Start Time,Event End Time
82,035 21:19:46.266289,035 21:19:46.316260
82.5,035 21:19:47.266235,035 21:19:47.316223
82,035 21:19:48.266269,035 21:19:48.316269
82.5,035 21:19:50.266351,035 21:19:50.316347
81.5,035 21:19:51.266404,035 21:19:51.316386
82,035 21:19:52.266421,035 21:19:52.316522
82.5,035 21:19:55.266553,035 21:19:55.316548
81.5,035 21:19:56.266652,035 21:19:56.316710
81,035 21:19:57.266640,035 21:19:57.316638
81.5,035 21:19:58.266665,035 21:19:58.316674
82,035 21:19:59.266805,035 21:19:59.316824
82.5,035 21:20:01.266792,035 21:20:01.316789
82,035 21:20:04.266898,035 21:20:04.316909
82.5,035 21:20:05.266942,035 21:20:05.317076
83,035 21:20:07.267028,035 21:20:07.317036
82.5,035 21:20:08.267079,035 21:20:08.317077
83,035 21:20:11.267186,035 21:20:11.317197
82.5,035 21:20:13.267286,035 21:20:13.317279
83,035 21:20:14.267322,035 21:20:14.317318
82.5,035 21:20:15.267385,035 21:20:15.317461
82,035 21:20:16.267435,035 21:20:16.317408
82.5,035 21:20:18.267467,035 21:20:18.317506
82,035 21:20:20.267553,035 21:20:20.317562
45.5,035 21:20:22.267752,035 21:20:22.317737
44.5,035 21:20:23.267673,035 21:20:23.317678
43.5,035 21:20:24.267779,035 21:20:24.317783
44,035 21:20:25.267859,035 21:20:25.317887
44.5,035 21:20:26.267797,035 21:20:26.317803
44,035 21:20:27.267908,035 21:20:27.317874
44.5,035 21:20:29.267929,035 21:20:29.317937
45,035 21:20:32.268118,035 21:20:32.318152
44.5,035 21:20:33.268079,035 21:20:33.318079
45,035 21:20:37.268226,035 21:20:37.318241
44.5,035 21:20:38.268374,035 21:20:38.318396
45,035 21:20:43.268467,035 21:20:43.318474
44.5,035 21:20:44.268503,035 21:20:44.318544
45,035 21:20:46.268581,035 21:20:46.318586
44.5,035 21:20:47.268632,035 21:20:47.318643
45,035 21:20:48.268778,035 21:20:48.318755
45.5,035 21:20:51.268836,035 21:20:51.318917
83,035 21:20:52.268850,035 21:20:52.318836
82,035 21:20:57.269015,035 21:20:57.319021
83.5,035 21:20:58.269109,035 21:20:58.319170
83,035 21:21:00.269186,035 21:21:00.319128
82,035 21:21:01.269267,035 21:21:01.319251
82.5,035 21:21:02.269211,035 21:21:02.319213
82,035 21:21:03.269241,035 21:21:03.319261
82.5,035 21:21:04.269314,035 21:21:04.319415
83,035 21:21:05.269355,035 21:21:05.319336
84.5,035 21:21:06.269365,035 21:21:06.319372
84,035 21:21:07.269417,035 21:21:07.319512
83,035 21:21:08.269529,035 21:21:08.319536
84,035 21:21:09.269491,035 21:21:09.319492
82.5,035 21:21:10.269544,035 21:21:10.319528
83,035 21:21:11.269682,035 21:21:11.319678
84,035 21:21:13.269651,035 21:21:13.319644
83.5,035 21:21:14.269858,035 21:21:14.319766
46,035 21:21:16.269770,035 21:21:16.319764
45,035 21:21:17.269855,035 21:21:17.319924
44.5,035 21:21:18.269901,035 21:21:18.319845
45,035 21:21:19.269894,035 21:21:19.319882
46,035 21:21:23.270063,035 21:21:23.320058
45.5,035 21:21:27.270306,035 21:21:27.320278
46,035 21:21:28.270264,035 21:21:28.320257
45.5,035 21:21:32.270400,035 21:21:32.320415
46,035 21:21:33.270456,035 21:21:33.320565
45.5,035 21:21:35.270521,035 21:21:35.320522
46,035 21:21:37.270675,035 21:21:37.320719
46.5,035 21:21:38.270646,035 21:21:38.320646
46,035 21:21:39.270683,035 21:21:39.320688
46.5,035 21:21:42.270803,035 21:21:42.320813
46,035 21:21:43.270931,035 21:21:43.320972
46.5,035 21:21:46.270962,035 21:21:46.321003
46,035 21:21:53.271338,035 21:21:53.321364
83,035 21:21:54.271313,035 21:21:54.321313
84,035 21:21:55.271336,035 21:21:55.321344
83.5,035 21:21:56.271407,035 21:21:56.321499
83,035 21:21:57.271432,035 21:21:57.321426
84,035 21:21:58.271454,035 21:21:58.321463
46,035 21:21:59.271507,035 21:21:59.321626
44.5,035 21:22:00.271629,035 21:22:00.321602
45,035 21:22:01.271592,035 21:22:01.321584
45.5,035 21:22:03.271745,035 21:22:03.321774
46,035 21:22:04.271705,035 21:22:04.321705
46.5,035 21:22:07.271832,035 21:22:07.321836
46,035 21:22:08.271871,035 21:22:08.321883
46.5,035 21:22:11.271997,035 21:22:11.321996
46,035 21:22:14.272129,035 21:22:14.322113
46.5,035 21:22:15.272163,035 21:22:15.322156
47,035 21:22:16.272261,035 21:22:16.322324
46.5,035 21:22:18.272277,035 21:22:18.322286
83.5,035 21:22:19.272424,035 21:22:19.322447
84,035 21:22:20.272368,035 21:22:20.322371
84.5,035 21:22:21.272395,035 21:22:21.322405
46,035 21:22:22.272510,035 21:22:22.322568
45.5,035 21:22:23.272493,035 21:22:23.322480
46,035 21:22:24.272518,035 21:22:24.322526
46.5,035 21:22:26.272693,035 21:22:26.322667
46,035 21:22:27.272642,035 21:22:27.322645
71,035 21:22:28.272750,035 21:22:28.322736
48,035 21:22:29.272781,035 21:22:29.322938
46,035 21:22:30.272761,035 21:22:30.322771
85.5,035 21:22:31.272802,035 21:22:31.322811
85,035 21:22:32.273043,035 21:22:32.322969
84,035 21:22:33.272888,035 21:22:33.322889
84.5,035 21:22:34.272935,035 21:22:34.322944
84,035 21:22:36.273070,035 21:22:36.323018
84.5,035 21:22:39.273216,035 21:22:39.323196
84,035 21:22:40.273157,035 21:22:40.323172
83.5,035 21:22:41.273230,035 21:22:41.323214
84,035 21:22:42.273314,035 21:22:42.323339
84.5,035 21:22:43.273281,035 21:22:43.323294
85,035 21:22:44.273317,035 21:22:44.323325
46,035 21:22:46.273395,035 21:22:46.323403
45.5,035 21:22:47.273485,035 21:22:47.323500
46.5,035 21:22:48.273515,035 21:22:48.323584
47,035 21:22:52.273716,035 21:22:52.323728
47.5,035 21:22:53.273670,035 21:22:53.323684
47,035 21:22:56.273785,035 21:22:56.323835
47.5,035 21:22:58.274020,035 21:22:58.323955
47,035 21:23:01.274046,035 21:23:01.324119
47.5,035 21:23:06.274182,035 21:23:06.324174
48,035 21:23:09.274294,035 21:23:09.324296
47.5,035 21:23:13.274463,035 21:23:13.324451
85,035 21:23:14.274532,035 21:23:14.324618
85.5,035 21:23:15.274638,035 21:23:15.324581
85,035 21:23:16.274573,035 21:23:16.324574
46,035 21:23:17.274616,035 21:23:17.324609
46.5,035 21:23:19.274697,035 21:23:19.324687
47,035 21:23:20.274720,035 21:23:20.324725
47.5,035 21:23:21.274891,035 21:23:21.324887
85,035 21:23:26.274957,035 21:23:26.324967
46.5,035 21:23:27.275020,035 21:23:27.325022
47,035 21:23:29.275083,035 21:23:29.325089
47.5,035 21:23:30.275151,035 21:23:30.325148
48,035 21:23:33.275255,035 21:23:33.325262
47.5,035 21:23:34.275276,035 21:23:34.325286
48.5,035 21:23:35.275398,035 21:23:35.325433
85,035 21:23:36.275355,035 21:23:36.325369
46,035 21:23:37.275401,035 21:23:37.325406
47,035 21:23:38.275540,035 21:23:38.325526
47.5,035 21:23:39.275475,035 21:23:39.325487
48,035 21:23:40.275537,035 21:23:40.325544
84.5,035 21:23:42.275632,035 21:23:42.325610
46,035 21:23:43.275648,035 21:23:43.325651
46.5,035 21:23:44.275733,035 21:23:44.325814
47,035 21:23:45.275816,035 21:23:45.325761
48,035 21:23:46.275770,035 21:23:46.325768
48.5,035 21:23:47.275803,035 21:23:47.325814
71,035 21:23:51.276060,035 21:23:51.326087
48,035 21:23:52.276016,035 21:23:52.326026
71,035 21:23:54.276189,035 21:23:54.326223
71.5,035 21:23:56.276172,035 21:23:56.326181
71,035 21:23:57.276226,035 21:23:57.326290
71.5,035 21:23:58.276357,035 21:23:58.326259
71,035 21:23:59.276292,035 21:23:59.326298
70.5,035 21:24:02.276430,035 21:24:02.326418
70,035 21:24:03.276449,035 21:24:03.326457
70.5,035 21:24:04.276577,035 21:24:04.326608
71,035 21:24:05.276532,035 21:24:05.326537
70.5,035 21:24:06.276577,035 21:24:06.326579
71,035 21:24:07.276712,035 21:24:07.326733
71.5,035 21:24:09.276706,035 21:24:09.326705
72.5,035 21:24:10.276722,035 21:24:10.326857
71.5,035 21:24:11.276848,035 21:24:11.326788
71,035 21:24:12.276822,035 21:24:12.326813
70.5,035 21:24:13.276866,035 21:24:13.326857
48.5,035 21:24:14.276996,035 21:24:14.326957
48,035 21:24:15.276950,035 21:24:15.326940
48.5,035 21:24:16.276998,035 21:24:16.326988
49,035 21:24:17.277111,035 21:24:17.327099
49.5,035 21:24:21.277204,035 21:24:21.327183
49,035 21:24:22.277209,035 21:24:22.327221
49.5,035 21:24:23.277253,035 21:24:23.327330
49,035 21:24:25.277330,035 21:24:25.327335
49.5,035 21:24:26.277369,035 21:24:26.327379
50,035 21:24:28.277453,035 21:24:28.327455
49.5,035 21:24:32.277609,035 21:24:32.327619
50,035 21:24:33.277761,035 21:24:33.327863
49.5,035 21:24:35.277779,035 21:24:35.327736
50,035 21:24:37.277930,035 21:24:37.327832
50.5,035 21:24:45.278145,035 21:24:45.328140
50,035 21:24:47.278289,035 21:24:47.328205
49.5,035 21:24:49.278310,035 21:24:49.328300
50,035 21:24:51.278405,035 21:24:51.328365
48.5,035 21:24:52.278406,035 21:24:52.328484
49.5,035 21:24:53.278565,035 21:24:53.328571
50,035 21:24:55.278514,035 21:24:55.328521
49.5,035 21:24:56.278669,035 21:24:56.328652
50,035 21:24:57.278590,035 21:24:57.328601
51,035 21:24:58.278628,035 21:24:58.328633
50.5,035 21:24:59.278788,035 21:24:59.328799
50,035 21:25:03.278940,035 21:25:03.328844
50.5,035 21:25:07.278980,035 21:25:07.329044
51,035 21:25:08.279045,035 21:25:08.329021
50.5,035 21:25:13.279266,035 21:25:13.329242
86.5,035 21:25:14.279258,035 21:25:14.329284
86,035 21:25:15.279312,035 21:25:15.329382
86.5,035 21:25:16.279426,035 21:25:16.329417
87,035 21:25:17.279380,035 21:25:17.329383
85.5,035 21:25:18.279421,035 21:25:18.329428
86,035 21:25:19.279540,035 21:25:19.329583
85.5,035 21:25:21.279551,035 21:25:21.329560
86,035 21:25:24.279673,035 21:25:24.329661
85.5,035 21:25:25.279697,035 21:25:25.329786
86.5,035 21:25:28.279828,035 21:25:28.329833
87,035 21:25:29.279952,035 21:25:29.329913
86,035 21:25:30.279902,035 21:25:30.329908
87,035 21:25:32.280074,035 21:25:32.330094
84.5,035 21:25:33.280020,035 21:25:33.330028
85,035 21:25:34.280062,035 21:25:34.330071
85.5,035 21:25:35.280215,035 21:25:35.330196
392.5,035 21:25:37.280185,035 21:25:37.330189
409.5,035 21:25:38.280275,035 21:25:38.330346
85,035 21:25:39.280294,035 21:25:39.330273
86,035 21:25:40.280323,035 21:25:40.330331
87,035 21:25:41.280360,035 21:25:41.330380
88,035 21:25:43.280437,035 21:25:43.330442
87,035 21:25:44.280474,035 21:25:44.330480
86.5,035 21:25:45.280570,035 21:25:45.330632
86,035 21:25:46.280550,035 21:25:46.330556
85.5,035 21:25:47.280609,035 21:25:47.330606
86.5,035 21:25:48.280743,035 21:25:48.330761
87.5,035 21:25:49.280690,035 21:25:49.330692
85.5,035 21:25:50.280701,035 21:25:50.330720
85,035 21:25:52.280859,035 21:25:52.330799
85.5,035 21:25:53.280842,035 21:25:53.330842
85,035 21:25:54.280874,035 21:25:54.330928
85.5,035 21:25:55.281000,035 21:25:55.331036
86.5,035 21:25:57.280992,035 21:25:57.331000
86,035 21:25:58.281198,035 21:25:58.331148
85.5,035 21:26:00.281106,035 21:26:00.331119
86,035 21:26:03.281230,035 21:26:03.331255
85,035 21:26:04.281334,035 21:26:04.331405
85.5,035 21:26:05.281328,035 21:26:05.331317
85,035 21:26:06.281354,035 21:26:06.331356
86.5,035 21:26:08.281522,035 21:26:08.331543
85.5,035 21:26:09.281477,035 21:26:09.331478
85,035 21:26:10.281509,035 21:26:10.331519
85.5,035 21:26:11.281604,035 21:26:11.331669
85,035 21:26:13.281624,035 21:26:13.331638
85.5,035 21:26:14.281781,035 21:26:14.331770
86,035 21:26:17.281863,035 21:26:17.331933
85.5,035 21:26:18.281878,035 21:26:18.331841
86,035 21:26:19.281888,035 21:26:19.331879
85.5,035 21:26:21.282047,035 21:26:21.332083
85,035 21:26:24.282152,035 21:26:24.332190
85.5,035 21:26:25.282103,035 21:26:25.332113
85,035 21:26:27.282290,035 21:26:27.332317
84.5,035 21:26:28.282234,035 21:26:28.332251
85.5,035 21:26:29.282285,035 21:26:29.332268
86,035 21:26:31.282364,035 21:26:31.332368
85,035 21:26:33.282463,035 21:26:33.332528
86.5,035 21:26:34.282563,035 21:26:34.332571
85.5,035 21:26:36.282571,035 21:26:36.332565
86,035 21:26:37.282641,035 21:26:37.332705
85.5,035 21:26:38.282639,035 21:26:38.332645
85,035 21:26:39.282674,035 21:26:39.332679
86,035 21:26:40.282815,035 21:26:40.332835
85.5,035 21:26:42.282795,035 21:26:42.332801
86,035 21:26:43.282917,035 21:26:43.332936
85.5,035 21:26:44.282910,035 21:26:44.332886
86.5,035 21:26:48.283025,035 21:26:48.333029
86,035 21:26:49.283067,035 21:26:49.333077
84.5,035 21:26:50.283232,035 21:26:50.333193
85.5,035 21:26:53.283296,035 21:26:53.333336
86,035 21:26:55.283307,035 21:26:55.333313
85,035 21:26:56.283346,035 21:26:56.333502
85.5,035 21:26:57.283488,035 21:26:57.333444
86,035 21:26:58.283429,035 21:26:58.333430
85.5,035 21:26:59.283481,035 21:26:59.333472
86,035 21:27:00.283567,035 21:27:00.333630
85.5,035 21:27:02.283581,035 21:27:02.333586
86.5,035 21:27:03.283748,035 21:27:03.333745
87.5,035 21:27:05.283695,035 21:27:05.333702
86.5,035 21:27:06.283836,035 21:27:06.333842
86,035 21:27:07.283781,035 21:27:07.333788
85.5,035 21:27:09.283923,035 21:27:09.334003
86,035 21:27:11.283946,035 21:27:11.333945
87,035 21:27:12.283994,035 21:27:12.333997
85.5,035 21:27:13.284089,035 21:27:13.334120
84.5,035 21:27:15.284095,035 21:27:15.334105
85.5,035 21:27:16.284225,035 21:27:16.334257
86,035 21:27:19.284306,035 21:27:19.334388
85.5,035 21:27:20.284293,035 21:27:20.334312
86,035 21:27:22.284384,035 21:27:22.334498
85.5,035 21:27:23.284506,035 21:27:23.334508
86.5,035 21:27:28.284610,035 21:27:28.334623
86,035 21:27:29.284733,035 21:27:29.334776
86.5,035 21:27:30.284694,035 21:27:30.334700
84,035 21:27:31.284737,035 21:27:31.334740
85,035 21:27:32.284864,035 21:27:32.334879
85.5,035 21:27:34.284855,035 21:27:34.334860
84.5,035 21:27:35.284888,035 21:27:35.335015
85,035 21:27:36.285032,035 21:27:36.334996
85.5,035 21:27:37.284981,035 21:27:37.334984
86,035 21:27:38.285034,035 21:27:38.335038
85.5,035 21:27:39.285141,035 21:27:39.335180
86.5,035 21:27:40.285105,035 21:27:40.335118
85.5,035 21:27:41.285138,035 21:27:41.335140
86.5,035 21:27:42.285281,035 21:27:42.335274
85.5,035 21:27:43.285254,035 21:27:43.335237
86,035 21:27:44.285263,035 21:27:44.335262
84.5,035 21:27:45.285376,035 21:27:45.335418
85,035 21:27:46.285449,035 21:27:46.335360
85.5,035 21:27:47.285394,035 21:27:47.335384
86.5,035 21:27:52.285652,035 21:27:52.335691
86,035 21:27:53.285623,035 21:27:53.335632
84.5,035 21:27:54.285662,035 21:27:54.335668
85.5,035 21:27:55.285810,035 21:27:55.335831
84,035 21:27:56.285742,035 21:27:56.335747
84.5,035 21:27:57.285779,035 21:27:57.335783
85.5,035 21:27:58.285927,035 21:27:58.335958
86,035 21:28:00.285899,035 21:28:00.335911
85.5,035 21:28:01.285949,035 21:28:01.336023
85,035 21:28:02.286075,035 21:28:02.336062
86.5,035 21:28:03.286038,035 21:28:03.336040
86,035 21:28:04.286070,035 21:28:04.336072
85.5,035 21:28:06.286147,035 21:28:06.336154
86,035 21:28:07.286191,035 21:28:07.336194
85.5,035 21:28:11.286441,035 21:28:11.336467
85,035 21:28:13.286409,035 21:28:13.336426
86,035 21:28:14.286455,035 21:28:14.336554
87.5,035 21:28:15.286592,035 21:28:15.336515
86,035 21:28:16.286540,035 21:28:16.336539
86.5,035 21:28:17.286578,035 21:28:17.336588
85.5,035 21:28:18.286727,035 21:28:18.336734
85,035 21:28:23.286811,035 21:28:23.336817
87,035 21:28:24.286969,035 21:28:24.336987
86.5,035 21:28:25.286921,035 21:28:25.336902
86,035 21:28:26.286935,035 21:28:26.336941
85.5,035 21:28:27.286974,035 21:28:27.337017
86,035 21:28:29.287057,035 21:28:29.337061
85.5,035 21:28:32.287209,035 21:28:32.337189
85,035 21:28:34.287370,035 21:28:34.337341
85.5,035 21:28:35.287305,035 21:28:35.337309
85,035 21:28:37.287393,035 21:28:37.337512
85.5,035 21:28:38.287444,035 21:28:38.337433
86,035 21:28:39.287448,035 21:28:39.337461
86.5,035 21:28:40.287496,035 21:28:40.337567
86,035 21:28:41.287637,035 21:28:41.337596
85.5,035 21:28:42.287577,035 21:28:42.337580
85,035 21:28:45.287696,035 21:28:45.337705
85.5,035 21:28:46.287746,035 21:28:46.337754
86,035 21:28:49.287858,035 21:28:49.337879
84.5,035 21:28:51.288020,035 21:28:51.337967
85,035 21:28:52.287966,035 21:28:52.337973
84,035 21:28:53.288012,035 21:28:53.338019
83,035 21:28:54.288141,035 21:28:54.338132
83.5,035 21:28:55.288089,035 21:28:55.338090
82,035 21:28:57.288277,035 21:28:57.338257
83,035 21:28:58.288202,035 21:28:58.338210
82.5,035 21:28:59.288256,035 21:28:59.338249
82,035 21:29:00.288405,035 21:29:00.338412
81.5,035 21:29:01.288427,035 21:29:01.338327
82,035 21:29:03.288430,035 21:29:03.338490
81.5,035 21:29:04.288516,035 21:29:04.338444
81,035 21:29:06.288578,035 21:29:06.338593
80.5,035 21:29:10.288793,035 21:29:10.338795
82,035 21:29:11.288739,035 21:29:11.338735
81.5,035 21:29:12.288810,035 21:29:12.338768
81,035 21:29:13.288948,035 21:29:13.339027
80,035 21:29:16.288944,035 21:29:16.338989
79.5,035 21:29:17.289101,035 21:29:17.338972
80.5,035 21:29:18.289057,035 21:29:18.339017
81,035 21:29:19.289046,035 21:29:19.339045
80.5,035 21:29:20.289190,035 21:29:20.339189
81,035 21:29:22.289150,035 21:29:22.339162
80.5,035 21:29:23.289279,035 21:29:23.339274
79.5,035 21:29:24.289233,035 21:29:24.339237
81,035 21:29:25.289270,035 21:29:25.339285
80.5,035 21:29:26.289413,035 21:29:26.339437
80,035 21:29:27.289397,035 21:29:27.339361
80.5,035 21:29:28.289382,035 21:29:28.339392
80,035 21:29:29.289424,035 21:29:29.339498
79,035 21:29:35.289676,035 21:29:35.339680
80,035 21:29:36.289705,035 21:29:36.339787
80.5,035 21:29:38.289780,035 21:29:38.339788
80,035 21:29:40.289956,035 21:29:40.339962
79.5,035 21:29:43.290077,035 21:29:43.340067
80.5,035 21:29:45.290047,035 21:29:45.340063
80,035 21:29:46.290089,035 21:29:46.340184
80.5,035 21:29:50.290321,035 21:29:50.340300
80,035 21:29:51.290289,035 21:29:51.340298
79.5,035 21:29:52.290327,035 21:29:52.340337
80.5,035 21:29:54.290408,035 21:29:54.340414
80,035 21:29:55.290457,035 21:29:55.340454
80.5,035 21:29:56.290590,035 21:29:56.340585
79.5,035 21:29:57.290565,035 21:29:57.340544
80,035 21:29:58.290594,035 21:29:58.340602
79,035 21:30:00.290693,035 21:30:00.340675
79.5,035 21:30:01.290700,035 21:30:01.340710
77.5,035 21:30:02.290739,035 21:30:02.340839
79,035 21:30:03.290874,035 21:30:03.340845
79.5,035 21:30:05.290912,035 21:30:05.340868
51,035 21:30:09.291105,035 21:30:09.341124
50.5,035 21:30:10.291050,035 21:30:10.341062
51,035 21:30:13.291190,035 21:30:13.341185
50.5,035 21:30:14.291216,035 21:30:14.341224
50,035 21:30:15.291253,035 21:30:15.341389
50.5,035 21:30:19.291465,035 21:30:19.341520
50,035 21:30:20.291458,035 21:30:20.341456
82,035 21:30:24.291611,035 21:30:24.341613
81,035 21:30:25.291705,035 21:30:25.341782
80,035 21:30:26.291720,035 21:30:26.341694
50,035 21:30:27.291724,035 21:30:27.341735
49.5,035 21:30:31.291882,035 21:30:31.341909
50.5,035 21:30:35.292168,035 21:30:35.342175
50,035 21:30:37.292144,035 21:30:37.342140
50.5,035 21:30:38.292228,035 21:30:38.342300
51.5,035 21:30:39.292236,035 21:30:39.342228
49,035 21:30:40.292242,035 21:30:40.342256
49.5,035 21:30:41.292314,035 21:30:41.342309
50.5,035 21:30:43.292386,035 21:30:43.342389
49.5,035 21:30:44.292420,035 21:30:44.342425
50,035 21:30:46.292489,035 21:30:46.342493
50.5,035 21:30:47.292520,035 21:30:47.342529
51,035 21:30:48.292624,035 21:30:48.342690
50,035 21:30:49.292605,035 21:30:49.342612
49.5,035 21:30:52.292827,035 21:30:52.342781
50,035 21:30:53.292765,035 21:30:53.342767
50.5,035 21:30:55.292931,035 21:30:55.342963
49,035 21:30:56.292894,035 21:30:56.342883
50.5,035 21:30:58.293071,035 21:30:58.343083
50,035 21:31:01.293170,035 21:31:01.343213
50.5,035 21:31:03.293164,035 21:31:03.343217
50,035 21:31:05.293340,035 21:31:05.343256
50.5,035 21:31:11.293551,035 21:31:11.343552
50,035 21:31:12.293507,035 21:31:12.343512
49.5,035 21:31:15.293658,035 21:31:15.343632
50,035 21:31:16.293669,035 21:31:16.343679
51,035 21:31:18.293820,035 21:31:18.343812
51.5,035 21:31:19.293774,035 21:31:19.343782
50.5,035 21:31:20.293810,035 21:31:20.343819
50,035 21:31:22.293891,035 21:31:22.343896
50.5,035 21:31:23.293927,035 21:31:23.343938
51,035 21:31:24.294061,035 21:31:24.344083
50.5,035 21:31:26.294045,035 21:31:26.344055
50,035 21:31:30.294200,035 21:31:30.344224
51.5,035 21:31:31.294334,035 21:31:31.344322
50.5,035 21:31:32.294285,035 21:31:32.344286
51.5,035 21:31:33.294323,035 21:31:33.344332
51,035 21:31:34.294425,035 21:31:34.344461
51.5,035 21:31:36.294445,035 21:31:36.344454
51,035 21:31:38.294523,035 21:31:38.344528
51.5,035 21:31:39.294558,035 21:31:39.344567
51,035 21:31:40.294686,035 21:31:40.344708
50.5,035 21:31:41.294669,035 21:31:41.344642
51.5,035 21:31:43.294769,035 21:31:43.344842
52,035 21:31:45.294794,035 21:31:45.344801
51.5,035 21:31:47.294945,035 21:31:47.345003
52.5,035 21:31:48.294922,035 21:31:48.344919
52,035 21:31:49.294957,035 21:31:49.344963
50.5,035 21:31:50.295116,035 21:31:50.345112
51,035 21:31:51.295044,035 21:31:51.345045
51.5,035 21:31:53.295214,035 21:31:53.345259
51,035 21:31:54.295175,035 21:31:54.345161
51.5,035 21:31:56.295236,035 21:31:56.345258
52.5,035 21:32:00.295470,035 21:32:00.345507
51.5,035 21:32:01.295440,035 21:32:01.345447
51,035 21:32:03.295595,035 21:32:03.345594
51.5,035 21:32:07.295717,035 21:32:07.345689
51,035 21:32:08.295731,035 21:32:08.345731
50.5,035 21:32:09.295785,035 21:32:09.345831
51,035 21:32:10.295893,035 21:32:10.345813
51.5,035 21:32:12.295892,035 21:32:12.345883
52,035 21:32:13.296007,035 21:32:13.346001
52.5,035 21:32:17.296083,035 21:32:17.346075
52,035 21:32:18.296111,035 21:32:18.346118
53,035 21:32:19.296260,035 21:32:19.346277
52,035 21:32:20.296289,035 21:32:20.346204
52.5,035 21:32:21.296236,035 21:32:21.346250
53,035 21:32:22.296269,035 21:32:22.346341
52,035 21:32:23.296405,035 21:32:23.346332
51.5,035 21:32:26.296488,035 21:32:26.346530
51,035 21:32:27.296465,035 21:32:27.346468
52,035 21:32:28.296500,035 21:32:28.346507
52.5,035 21:32:29.296653,035 21:32:29.346636
52,035 21:32:30.296594,035 21:32:30.346589
52.5,035 21:32:31.296621,035 21:32:31.346634
53,035 21:32:35.296795,035 21:32:35.346885
52.5,035 21:32:37.296875,035 21:32:37.346872
52,035 21:32:38.296901,035 21:32:38.346956
52.5,035 21:32:39.296995,035 21:32:39.347062
52,035 21:32:40.297000,035 21:32:40.346996
52.5,035 21:32:41.297023,035 21:32:41.347025
53,035 21:32:46.297350,035 21:32:46.347223
52.5,035 21:32:47.297254,035 21:32:47.347273
52,035 21:32:49.297431,035 21:32:49.347393
53,035 21:32:51.297408,035 21:32:51.347412
52.5,035 21:32:52.297555,035 21:32:52.347557
53,035 21:32:53.297491,035 21:32:53.347497
53.5,035 21:32:54.297532,035 21:32:54.347541
53,035 21:32:55.297695,035 21:32:55.347703
52.5,035 21:32:56.297633,035 21:32:56.347624
53,035 21:32:59.297785,035 21:32:59.347739
52.5,035 21:33:01.297801,035 21:33:01.347812
53,035 21:33:03.297879,035 21:33:03.347884
52,035 21:33:04.297915,035 21:33:04.347923
53,035 21:33:05.298034,035 21:33:05.348071
52.5,035 21:33:08.298178,035 21:33:08.348168
53,035 21:33:09.298106,035 21:33:09.348116
53.5,035 21:33:10.298205,035 21:33:10.348214
53,035 21:33:12.298267,035 21:33:12.348230
54,035 21:33:13.298277,035 21:33:13.348281
52.5,035 21:33:14.298317,035 21:33:14.348359
53.5,035 21:33:15.298437,035 21:33:15.348399
53,035 21:33:17.298425,035 21:33:17.348423
53.5,035 21:33:18.298576,035 21:33:18.348548
54,035 21:33:19.298502,035 21:33:19.348502
54.5,035 21:33:21.298695,035 21:33:21.348673
53.5,035 21:33:22.298617,035 21:33:22.348616
53,035 21:33:23.298648,035 21:33:23.348655
53.5,035 21:33:24.298697,035 21:33:24.348772
52.5,035 21:33:27.298817,035 21:33:27.348811
53,035 21:33:28.298954,035 21:33:28.348926
53.5,035 21:33:29.298895,035 21:33:29.348905
54,035 21:33:30.298951,035 21:33:30.348944
53,035 21:33:31.299091,035 21:33:31.349048
54.5,035 21:33:33.299118,035 21:33:33.349050
53.5,035 21:33:34.299201,035 21:33:34.349206
54,035 21:33:35.299156,035 21:33:35.349130
55,035 21:33:38.299315,035 21:33:38.349248
53.5,035 21:33:39.299294,035 21:33:39.349284
53,035 21:33:40.299313,035 21:33:40.349358
54.5,035 21:33:41.299414,035 21:33:41.349475
54,035 21:33:42.299395,035 21:33:42.349401
53.5,035 21:33:45.299518,035 21:33:45.349528
54,035 21:33:46.299560,035 21:33:46.349566
53.5,035 21:33:47.299660,035 21:33:47.349720
54,035 21:33:48.299665,035 21:33:48.349642
54.5,035 21:33:52.299797,035 21:33:52.349809
53.5,035 21:33:53.299834,035 21:33:53.349847
54,035 21:33:54.299931,035 21:33:54.349995
54.5,035 21:33:57.300094,035 21:33:57.350079
54,035 21:33:59.300090,035 21:33:59.350083
53,035 21:34:01.300174,035 21:34:01.350170
53.5,035 21:34:02.300218,035 21:34:02.350213
53,035 21:34:03.300244,035 21:34:03.350354
54,035 21:34:04.300346,035 21:34:04.350306
54.5,035 21:34:05.300331,035 21:34:05.350335
54,035 21:34:07.300459,035 21:34:07.350520
54.5,035 21:34:08.300450,035 21:34:08.350450
54,035 21:34:09.300481,035 21:34:09.350485
53.5,035 21:34:11.300568,035 21:34:11.350568
54,035 21:34:12.300604,035 21:34:12.350609
53.5,035 21:34:13.300697,035 21:34:13.350775
55,035 21:34:14.300682,035 21:34:14.350691
54.5,035 21:34:15.300719,035 21:34:15.350729
55,035 21:34:17.300893,035 21:34:17.350833
55.5,035 21:34:19.300877,035 21:34:19.350949
55,035 21:34:20.300979,035 21:34:20.351034
54.5,035 21:34:21.300960,035 21:34:21.351013
54,035 21:34:23.301140,035 21:34:23.351123
55.5,035 21:34:24.301083,035 21:34:24.351090
54,035 21:34:25.301111,035 21:34:25.351123
55,035 21:34:26.301211,035 21:34:26.351286
54.5,035 21:34:27.301221,035 21:34:27.351203
55.5,035 21:34:29.301270,035 21:34:29.351380
