Event,Event Start Time,Event End Time
44,035 19:43:40.042571,035 19:43:40.092566
43.5,035 19:43:43.042673,035 19:43:43.092677
44,035 19:43:44.042705,035 19:43:44.092910
43.5,035 19:43:45.042833,035 19:43:45.092854
44,035 19:43:47.042820,035 19:43:47.092817
43.5,035 19:43:49.042991,035 19:43:49.092947
44,035 19:43:50.042930,035 19:43:50.092930
44.5,035 19:43:51.042964,035 19:43:51.092959
44,035 19:43:52.043054,035 19:43:52.093118
44.5,035 19:43:54.043089,035 19:43:54.093075
45,035 19:43:55.043154,035 19:43:55.093113
44.5,035 19:43:57.043214,035 19:43:57.093183
45,035 19:44:03.043418,035 19:44:03.093411
44.5,035 19:44:04.043521,035 19:44:04.093539
45.5,035 19:44:06.043564,035 19:44:06.093516
45,035 19:44:08.043688,035 19:44:08.093653
45.5,035 19:44:10.043702,035 19:44:10.093665
45,035 19:44:11.043747,035 19:44:11.093773
44.5,035 19:44:12.043834,035 19:44:12.093793
45,035 19:44:13.043777,035 19:44:13.093781
44.5,035 19:44:15.043910,035 19:44:15.093974
45,035 19:44:19.044080,035 19:44:19.094088
45.5,035 19:44:30.044400,035 19:44:30.094471
45,035 19:44:31.044524,035 19:44:31.094498
45.5,035 19:44:32.044476,035 19:44:32.094469
45,035 19:44:35.044673,035 19:44:35.094589
45.5,035 19:44:37.044637,035 19:44:37.094648
45,035 19:44:38.044762,035 19:44:38.094799
45.5,035 19:44:40.044803,035 19:44:40.094760
45,035 19:44:41.044824,035 19:44:41.094815
44.5,035 19:44:42.044939,035 19:44:42.094954
45,035 19:44:44.044920,035 19:44:44.094904
45.5,035 19:44:49.045087,035 19:44:49.095094
45,035 19:44:54.045368,035 19:44:54.095349
46,035 19:44:55.045328,035 19:44:55.095334
46.5,035 19:45:01.045642,035 19:45:01.095686
45.5,035 19:45:02.045612,035 19:45:02.095592
48,035 19:45:05.045818,035 19:45:05.095778
46,035 19:45:06.045728,035 19:45:06.095737
45.5,035 19:45:09.045959,035 19:45:09.095975
46,035 19:45:10.045904,035 19:45:10.095907
45.5,035 19:45:11.045918,035 19:45:11.095930
46,035 19:45:12.045962,035 19:45:12.095975
45.5,035 19:45:15.046071,035 19:45:15.096082
46,035 19:45:16.046104,035 19:45:16.096135
45.5,035 19:45:21.046402,035 19:45:21.096363
46,035 19:45:25.046533,035 19:45:25.096452
45.5,035 19:45:26.046490,035 19:45:26.096488
45,035 19:45:28.046653,035 19:45:28.096637
45.5,035 19:45:30.046631,035 19:45:30.096623
45,035 19:45:31.046663,035 19:45:31.096678
45.5,035 19:45:32.046817,035 19:45:32.096815
46,035 19:45:33.046751,035 19:45:33.096737
45.5,035 19:45:35.046820,035 19:45:35.096816
46,035 19:45:37.046869,035 19:45:37.096887
45,035 19:45:39.047014,035 19:45:39.096964
45.5,035 19:45:40.047051,035 19:45:40.097107
49,035 19:45:41.047074,035 19:45:41.097030
48.5,035 19:45:43.047089,035 19:45:43.097207
48,035 19:45:44.047263,035 19:45:44.097242
47.5,035 19:45:46.047261,035 19:45:46.097200
47,035 19:45:47.047359,035 19:45:47.097475
47.5,035 19:45:49.047296,035 19:45:49.097307
47,035 19:45:51.047490,035 19:45:51.097510
47.5,035 19:45:56.047606,035 19:45:56.097576
45.5,035 19:45:58.047627,035 19:45:58.097658
46,035 19:45:59.047790,035 19:45:59.097764
46.5,035 19:46:00.047725,035 19:46:00.097708
47,035 19:46:03.047872,035 19:46:03.097890
47.5,035 19:46:04.047871,035 19:46:04.097870
47,035 19:46:06.047945,035 19:46:06.098034
47.5,035 19:46:07.048050,035 19:46:07.098075
47,035 19:46:08.047998,035 19:46:08.098002
47.5,035 19:46:13.048195,035 19:46:13.098184
47,035 19:46:18.048472,035 19:46:18.098501
47.5,035 19:46:23.048556,035 19:46:23.098556
47,035 19:46:25.048626,035 19:46:25.098632
47.5,035 19:46:26.048852,035 19:46:26.098866
47,035 19:46:27.048693,035 19:46:27.098701
47.5,035 19:46:28.048741,035 19:46:28.098751
46.5,035 19:46:30.048859,035 19:46:30.098923
47,035 19:46:34.049039,035 19:46:34.098979
77.5,035 19:46:35.049005,035 19:46:35.098994
78,035 19:46:36.049035,035 19:46:36.099038
77,035 19:46:37.049136,035 19:46:37.099161
76.5,035 19:46:39.049137,035 19:46:39.099146
78,035 19:46:40.049177,035 19:46:40.099175
77,035 19:46:41.049293,035 19:46:41.099339
47,035 19:46:42.049271,035 19:46:42.099259
46.5,035 19:46:43.049308,035 19:46:43.099310
47,035 19:46:45.049465,035 19:46:45.099494
48,035 19:46:49.049638,035 19:46:49.099595
47,035 19:46:50.049549,035 19:46:50.099555
46.5,035 19:46:52.049622,035 19:46:52.099652
78,035 19:46:53.049736,035 19:46:53.099745
78.5,035 19:46:54.049700,035 19:46:54.099708
78,035 19:46:55.049747,035 19:46:55.099751
48,035 19:46:57.049900,035 19:46:57.099831
